group1	group2	age	comparison_variable	effect_size	pvalue	conf_lower	conf_upper	sample_size_group1	sample_size_group2	t_statistic	df	padj	genotype_pair	padj_format
WT	HET	6 weeks	weight_gr	0.0107769230769231	0.432354593921125	-0.0174340505896055	0.0389878967434516	10	13	0.803449045110977	17.7314535319381	0.509875942621515	WT-HET	0.51
WT	MUT	6 weeks	weight_gr	0.122783333333333	4.9650207218102e-08	0.0954099997277443	0.150156666938922	10	12	9.49844560483422	16.2186648298287	6.95102901053428e-07	WT-MUT	7e-07
HET	MUT	6 weeks	weight_gr	0.11200641025641	3.92290266756102e-10	0.0896874483078742	0.134325372204946	13	12	10.3839983653145	22.8979531539931	2.19682549383417e-08	HET-MUT	2.2e-08
WT	HET	6 weeks	length_cm	0.0534615384615385	0.455769068438822	-0.094544559417479	0.201467636340556	10	13	0.763779880851652	16.5201435143965	0.520878935358654	WT-HET	0.52
WT	MUT	6 weeks	length_cm	0.849583333333333	2.34261718280967e-08	0.6515672543851	1.04759941228157	10	12	8.96310166787565	19.5466886373596	6.55932811186708e-07	WT-MUT	6.6e-07
HET	MUT	6 weeks	length_cm	0.796121794871795	4.40240594567051e-08	0.617354952892025	0.974888636851565	13	12	9.4090438790184	16.6931696129383	6.95102901053428e-07	HET-MUT	7e-07
WT	HET	8 weeks	weight_gr	0.010125	0.759316879933361	-0.0603703185427556	0.0806203185427556	8	8	0.31358926311686	11.7785205671445	0.787439727338301	WT-HET	0.79
WT	MUT	8 weeks	weight_gr	0.209875	3.38548513703054e-05	0.140865910916403	0.278884089083597	8	8	6.69258251136003	11.0161750501742	0.00018958716767371	WT-MUT	0.00019
HET	MUT	8 weeks	weight_gr	0.19975	5.80634721821504e-07	0.150284414575328	0.249215585424672	8	8	8.67107293151087	13.8286520155799	6.50310888440085e-06	HET-MUT	6.5e-06
WT	HET	8 weeks	length_cm	-0.1195	0.50613167838245	-0.496242655394262	0.257242655394261	8	8	-0.683186117420242	13.3986811847322	0.555752431165044	WT-HET	0.56
WT	MUT	8 weeks	length_cm	0.996	0.000226387161183992	0.562469742168998	1.429530257831	8	8	4.93131059437189	13.884742746597	0.000975206232792582	WT-MUT	0.00098
HET	MUT	8 weeks	length_cm	1.1155	4.48466293383948e-05	0.714891147182328	1.51610885281767	8	8	6.02206053921026	12.863632935557	0.000228310112995465	HET-MUT	0.00023
WT	HET	10 weeks	weight_gr	-0.0015	0.958373928890909	-0.0620734357987926	0.0590734357987926	8	8	-0.0531422522852122	13.9157278456286	0.958373928890909	WT-HET	0.96
WT	MUT	10 weeks	weight_gr	0.196214285714286	1.33355875349489e-05	0.134315694306833	0.258112877121738	8	7	6.87003379221499	12.6061433634814	0.000106684700279591	WT-MUT	0.00011
HET	MUT	10 weeks	weight_gr	0.197714285714286	1.60786494480565e-05	0.133646642505726	0.261781928922846	8	7	6.67358109330039	12.8741401356495	0.000112550546136395	HET-MUT	0.00011
WT	HET	10 weeks	length_cm	0.0835000000000004	0.351037490325297	-0.105837469564444	0.272837469564445	8	8	0.975737708768201	10.5497792850456	0.427349988222101	WT-HET	0.43
WT	MUT	10 weeks	length_cm	0.751910714285714	8.72351389114069e-06	0.55999919896534	0.943822229606088	8	7	8.83750357976777	9.17459607434582	8.14194629839798e-05	WT-MUT	8.1e-05
HET	MUT	10 weeks	length_cm	0.668410714285714	3.02360897803348e-05	0.437359925736529	0.899461502834899	8	7	6.25285860411438	12.9370696220528	0.000188135669744305	HET-MUT	0.00019
WT	HET	12 weeks	weight_gr	0.054	0.437036522247012	-0.133987359659254	0.241987359659254	3	3	0.887488058523386	3.16703713388226	0.509875942621515	WT-HET	0.51
WT	MUT	12 weeks	weight_gr	0.258333333333333	0.022136306853801	0.0612446531530216	0.455422013513645	3	3	3.66189867539581	3.93806864069725	0.0563469629005843	WT-MUT	0.056
HET	MUT	12 weeks	weight_gr	0.204333333333333	0.0278376630473211	0.0392977280354847	0.369368938631182	3	3	3.68296060571277	3.41455849046992	0.0644901384956708	HET-MUT	0.064
WT	HET	12 weeks	length_cm	0.196333333333333	0.298102973079935	-0.379816123314681	0.772482789981348	3	3	1.35791807998536	2.17657440156767	0.379403783919918	WT-HET	0.38
WT	MUT	12 weeks	length_cm	0.796	0.0309202634027656	0.123396795398152	1.46860320460185	3	3	3.38643015676301	3.71811692862457	0.0665974904059567	WT-MUT	0.067
HET	MUT	12 weeks	length_cm	0.599666666666667	0.0821191861432287	-0.181677343873096	1.38101067720643	3	3	3.15537320964861	2.10046352815484	0.14370857575065	HET-MUT	0.14
WT	HET	4 months	weight_gr	-0.0215625	0.535876862704865	-0.0919068025053151	0.048781802505315	16	18	-0.626362935833405	29.6063796271849	0.5662095153108	WT-HET	0.57
WT	MUT	4 months	weight_gr	0.071	0.0519151434989655	-0.000628186206003143	0.142628186206003	16	16	2.02483898903511	29.8322446581894	0.103830286997931	WT-MUT	0.1
HET	MUT	4 months	weight_gr	0.0925625	0.00886122004165195	0.0250430025559044	0.160081997444096	18	16	2.79994612478776	29.9504665419297	0.0248114161166255	HET-MUT	0.025
WT	HET	4 months	length_cm	-0.0147499999999998	0.835596800716554	-0.158786799828215	0.129286799828215	16	18	-0.209394736184432	29.1466021280785	0.850789469820492	WT-HET	0.85
WT	MUT	4 months	length_cm	0.2095625	0.0116665068990172	0.0502402906387479	0.368884709361252	16	16	2.68650605586461	29.9393507860859	0.0311106850640459	WT-MUT	0.031
HET	MUT	4 months	length_cm	0.2243125	0.00430974976890556	0.0762502073711846	0.372374792628815	18	16	3.09999574735994	28.6807721563329	0.0141968227681595	HET-MUT	0.014
WT	HET	6 months	weight_gr	0.0379375	0.158323372319149	-0.0160179132010304	0.0918929132010304	16	10	1.4637237463558	20.6543568379455	0.231679221812527	WT-HET	0.23
WT	MUT	6 months	weight_gr	0.0663819444444445	0.0234719562368139	0.00982783439025743	0.122936054498631	16	9	2.43268347060178	22.2495745236732	0.05714911083746	WT-MUT	0.057
HET	MUT	6 months	weight_gr	0.0284444444444444	0.128900931478976	-0.00923670445869315	0.066125593347582	10	9	1.6029518990522	15.6757141198596	0.200512560078407	HET-MUT	0.2
WT	HET	6 months	length_cm	0.099847222222222	0.12291480534991	-0.0292046357078461	0.22889908015229	16	10	1.60365310245806	22.2148512765774	0.196663688559856	WT-HET	0.2
WT	MUT	6 months	length_cm	0.279291666666667	0.00206170293987263	0.117051813440757	0.441531519892575	16	9	3.63216358396373	16.9894867988895	0.00721596028955421	WT-MUT	0.0072
HET	MUT	6 months	length_cm	0.179444444444445	0.028790240399853	0.0214680703657548	0.337420818523134	10	9	2.43583024727762	14.025807041784	0.0644901384956708	HET-MUT	0.064
WT	HET	8 months	weight_gr	0.075375	0.16548515843752	-0.0367696512035134	0.187519651203513	8	5	1.49422474961732	10.1685843268667	0.231679221812527	WT-HET	0.23
WT	MUT	8 months	weight_gr	0.158708333333333	0.0628714478644155	-0.0121737068100227	0.329590373476689	8	3	2.34698521628568	5.30312105573781	0.117360036013576	WT-MUT	0.12
HET	MUT	8 months	weight_gr	0.0833333333333334	0.238600616116683	-0.0992560170066778	0.265922683673345	5	3	1.47805619781974	2.91050625673508	0.318134154822244	HET-MUT	0.32
WT	HET	8 months	length_cm	0.0533999999999999	0.53067600437905	-0.128929281605728	0.235729281605728	8	5	0.648350242975181	10.504039027199	0.5662095153108	WT-HET	0.57
WT	MUT	8 months	length_cm	0.41	0.036982481971285	0.0437728089122144	0.776227191087785	8	3	3.3498566625615	3.37325660714782	0.0767044070515541	WT-MUT	0.077
HET	MUT	8 months	length_cm	0.3566	0.0561870813940346	-0.0171056053480882	0.730305605348088	5	3	2.95649267223658	3.15018516191189	0.108499191657446	HET-MUT	0.11
WT	HET	10 months	weight_gr	-0.2085	0.142480721631344	-0.568151139551614	0.151151139551614	3	6	-2.18044005480993	2.3356991866198	0.215646497604197	WT-HET	0.22
WT	MUT	10 months	weight_gr	0.258190476190476	0.0811558187568668	-0.0519209123660216	0.568301864746974	3	7	2.35427184687342	3.82357788393596	0.14370857575065	WT-MUT	0.14
HET	MUT	10 months	weight_gr	0.466690476190476	8.75423400852852e-05	0.316566098310549	0.616814854070404	6	7	7.14070156588279	8.18398572709357	0.000408530920397997	HET-MUT	0.00041
WT	HET	10 months	length_cm	-0.207833333333333	0.479446481665677	-1.04673431381373	0.631067647147061	3	6	-0.810886452056991	2.8590499070861	0.536980059465558	WT-HET	0.54
WT	MUT	10 months	length_cm	0.476476190476191	0.164164645554548	-0.359714402511576	1.31266678346396	3	7	1.85658901726857	2.88085636842618	0.231679221812527	WT-MUT	0.23
HET	MUT	10 months	length_cm	0.684309523809524	0.000840578106607526	0.353235394558039	1.01538365306101	6	7	4.55318158903624	10.9236412206645	0.0031381582646681	HET-MUT	0.0031
WT	HET	13 months	weight_gr	0.1085	0.0908612025229419	-0.0200935794173042	0.237093579417304	8	6	1.83883212897188	11.9722377334994	0.154188707311659	WT-HET	0.15
WT	MUT	13 months	weight_gr	0.27425	0.000401275683574571	0.157805977266327	0.390694022733673	8	4	5.26968724887122	9.70168474779158	0.00160510273429828	WT-MUT	0.0016
HET	MUT	13 months	weight_gr	0.16575	0.00592412542243786	0.0631895484236136	0.268310451576386	6	4	3.74114818313662	7.82721346167923	0.0174605801924484	HET-MUT	0.017
WT	HET	13 months	length_cm	0.224708333333334	0.100849163555478	-0.0543979310262545	0.503814597692922	8	6	1.84680358710049	8.25032070619136	0.166104504679611	WT-HET	0.17
WT	MUT	13 months	length_cm	0.346708333333333	0.0057015590592122	0.14163164069357	0.551785025973097	8	4	4.07433508255256	6.40425986435076	0.0174605801924484	WT-MUT	0.017
HET	MUT	13 months	length_cm	0.122	0.346811973456479	-0.164426752910996	0.408426752910995	6	4	1.0091647487146	6.93282392075571	0.427349988222101	HET-MUT	0.43
WT	HET	24 months	weight_gr	0.0839666666666666	0.245311261419808	-0.063287992108531	0.231221325441864	9	10	1.20372012458069	16.8759925083459	0.319475131151378	WT-HET	0.32
WT	MUT	24 months	weight_gr					9	0				WT-MUT	NA
HET	MUT	24 months	weight_gr					10	0				HET-MUT	NA
WT	HET	24 months	length_cm	0.190355555555556	0.200074805027687	-0.111286464713554	0.491997575824665	9	10	1.33508831819354	16.4095625065799	0.273272904428061	WT-HET	0.27
WT	MUT	24 months	length_cm					9	0				WT-MUT	NA
HET	MUT	24 months	length_cm					10	0				HET-MUT	NA
