fish_id	genotype	sex	line	age	batch	dob	exp_date	weight_gr	length_cm	As_avg	Ad_avg	HR_avg	inflow_avg	outflow_avg
f0025	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.453	3.049	1.15201233333333	1.42727166666667	197.242231	246.910800666667	122.854973333333
f0026	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.468	2.965	1.385305	1.88568166666667	132.175819333333	234.813306333333	152.986625333333
f0027	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.382	3.093	1.15528	1.47860366666667	113.921248	208.220079	79.949043
f0028	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.447	3.008	0.929358333333333	1.32497133333333	125.490504666667	157.704283	95.9927313333333
f0029	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.543	3.11	1.533307	1.718626	140.512068333333	314.011411666667	80.7989686666667
f0030	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.567	3.302	1.60215333333333	2.00534033333333	138.733935333333	239.151124333333	84.1748
f0031	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.564	2.975	1.129514	1.55121166666667	118.140454666667	170.665339666667	99.17672
f0032	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.541	3.056	1.31697333333333	1.60396833333333	133.882575666667	123.407714333333	105.430508333333
f0033	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.406	3.01	1.283693	1.54921566666667	162.136355666667	172.036909666667	86.4744913333333
f0034	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.323	2.709	0.604555	0.870132333333334	150.544923	166.738957666667	61.050388
f0035	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.484	2.97	1.17106333333333	1.37725433333333	135.106357	205.488681333333	120.670541333333
f0036	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.647	3.286	1.74003166666667	2.07324866666667	119.774384666667	245.717067333333	94.8465653333333
f0037	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.421	2.811	1.019025	1.280539	134.386885333333	144.959108333333	88.0908466666667
f0038	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.507	3.045	1.47973166666667	1.853255	107.109034333333	270.546186666667	98.021211
f0039	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.45	2.946	1.34799266666667	1.62497666666667	116.083973666667	196.134430333333	139.595901333333
f0040	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.408	2.775	0.858350666666667	1.16327266666667	122.911788	108.607016333333	88.855816
f0041	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.482	3.119	0.924693	1.16261133333333	101.463874666667	138.526169	98.9805266666667
f0042	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.477	3.032	1.00889033333333	1.59716	103.326385	280.492529	76.3638476666667
f0043	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.472	3.18	0.766243	1.09357633333333	124.089954333333	61.6619313333333	39.7783996666667
f0044	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.511	3.197	1.695494	2.245415	91.1463616666667	174.112693	85.9133793333333
f0045	WT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.583	3.005	1.48112433333333	1.92099233333333	99.7216193333333	188.234205	39.28592
f0046	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.339	2.709	0.827895333333333	1.14209266666667	127.217712	131.530837333333	121.168811
f0047	HET	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.423	2.913	1.2363	1.56539266666667	111.149106333333	133.272370333333	116.532208333333
f0048	MUT	M	jag2b	4month	batch_1	2021-08-19T00:00:00Z	2022-01-04	0.376	2.879	0.989488666666667	1.49327066666667	96.036482	222.79162	95.5761526666667
f0049	HET	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.526	2.955	1.19336766666667	1.57659966666667	147.469878666667	193.392707333333	129.595063666667
f0051	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.411	2.986	0.846711666666667	1.188739	159.287190666667	198.327250333333	163.218965666667
f0052	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.371	2.643	0.492556	0.694770666666667	155.848380333333	105.333825333333	94.5003266666667
f0053	HET	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.226	2.682	0.938640666666667	1.223957	178.323260333333	215.615096666667	104.653517333333
f0054	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.432	2.735	0.908383666666667	1.096452	182.499718333333	116.919052666667	125.521821
f0055	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.298	2.471	0.605063	0.783491	138.636629333333	114.108515666667	67.0435926666667
f0057	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.338	2.625	0.739323666666667	0.936900666666667	123.9545	203.131262666667	160.196967666667
f0058	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.24	2.418	0.585885333333333	0.901756666666667	150.841829666667	126.176359	72.7415636666667
f0059	HET	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.293	2.549	0.843475333333333	1.17279033333333	132.215677666667	171.800002	102.902085666667
f0060	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.438	3.126	1.11026033333333	1.37748066666667	171.794072666667	185.123261	71.1678733333333
f0061	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.262	2.481	0.579874	0.796553	143.833123666667	149.345875	63.5919596666667
f0062	HET	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.355	2.721	0.850958	1.20650966666667	150.076120333333	154.738833	88.7069166666667
f0064	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.298	2.783	0.568525333333333	0.875422333333333	120.239227666667	66.181869	46.794941
f0065	HET	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.476	3.098	1.49065	1.99474966666667	121.912437333333	207.966758333333	43.6631556666667
f0066	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.349	2.803	1.021948	1.32743233333333	124.349960666667	176.22816	101.53011
f0069	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.309	2.634	0.847253333333333	1.142856	129.443263	160.870295333333	149.738048
f0070	MUT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.358	2.732	0.678309666666667	0.986237333333333	120.843246666667	117.662482333333	38.931457
f0072	WT	M	jag2b	4month	batch_2	2021-08-19T00:00:00Z	2022-01-05	0.347	2.822	0.817308	1.265264	110.206819333333	249.885781333333	115.489686
