group1	group2	age_batch	comparison_variable	effect_size	pvalue	conf_lower	conf_upper	sample_size_group1	sample_size_group2	t_statistic	df	padj	genotype_pair	padj_format
WT	HET	4-month old, batch 1	weight_gr	0.0114920634920634	0.779891794095487	-0.0810479056153111	0.104032032599438	7	9	0.289693962990767	7.50473613294829	0.897458307667622	WT-HET	0.9
WT	MUT	4-month old, batch 1	weight_gr	0.0829642857142857	0.100388468490359	-0.0187432537099101	0.184671825138481	7	8	1.78815457664004	11.3763699340501	0.235694665151279	WT-MUT	0.24
HET	MUT	4-month old, batch 1	weight_gr	0.0714722222222222	0.04060406845414	0.00371106715038288	0.139233377294062	9	8	2.34562302422013	10.1449633157669	0.108419957079127	HET-MUT	0.11
WT	HET	4-month old, batch 1	HR_avg	-5.79731560846545	0.669258103636527	-34.3120727212383	22.7174415043074	7	9	-0.436397413984544	13.883909182313	0.850727488185521	WT-HET	0.85
WT	MUT	4-month old, batch 1	HR_avg	-2.89549490476182	0.774295327177907	-24.6569443028386	18.865954493315	7	8	-0.294182062904685	10.6075293978912	0.897458307667622	WT-MUT	0.9
HET	MUT	4-month old, batch 1	HR_avg	2.90182070370364	0.809144933394958	-22.7242490339436	28.5278904413509	9	8	0.24696724718337	11.89365273482	0.897458307667622	HET-MUT	0.9
WT	HET	4-month old, batch 1	Ad_avg	0.101103238095239	0.484946453170046	-0.201179877519166	0.403386353709645	7	9	0.717369486997259	13.997382427575	0.767690643252647	WT-HET	0.77
WT	MUT	4-month old, batch 1	Ad_avg	0.510050571428572	0.00109298120085529	0.248352744290585	0.771748398566559	7	8	4.23375596992942	12.3351871079559	0.00983683080769763	WT-MUT	0.0098
HET	MUT	4-month old, batch 1	Ad_avg	0.408947333333333	0.00802438167482087	0.124622144363105	0.69327252230356	9	8	3.08080682243661	14.1993439772081	0.0393924191309388	HET-MUT	0.039
WT	HET	4-month old, batch 1	As_avg	0.0525131798941803	0.677431147999582	-0.215152963843657	0.320179323632018	7	9	0.425978544630809	12.3881651027397	0.850727488185521	WT-HET	0.85
WT	MUT	4-month old, batch 1	As_avg	0.483612726190476	0.00152467876793943	0.233858096440587	0.733367355940364	7	8	4.31400105121225	10.0078508362834	0.0102915816835911	WT-MUT	0.01
HET	MUT	4-month old, batch 1	As_avg	0.431099546296295	0.000503022150149175	0.224569973355959	0.637629119236632	9	8	4.46726806709819	14.3299982810215	0.00679079902701387	HET-MUT	0.0068
