fish_id	genotype	exp_date	sex	length_cm	weight_gr	Min_Time_under_tricaine	dpf	dob	User	Tank_mates	Notes	line	age	inflow_avg_1	inflow_avg_2	inflow_avg_3	outflow_avg_1	outflow_avg_2	outflow_avg_3	HR_1	HR_2	HR_3	Vs_1	Vs_2	Vs_3	Vd_1	Vd_2	Vd_3	As_1	As_2	As_3	Ad_1	Ad_2	Ad_3
f0091	WT	6/1/22	M	3.017	0.329	1899-12-31T09:08:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	59.529487	54.516482	52.427712	-61.452549	-56.263224		183.465459	163.450624	152.704136	0.486047	0.719424	0.675774	0.919821	1.115847	0.875176	0.820024	1.105488	1.008428	1.224766	1.394216	1.248606
f0092	WT	6/1/22	M	2.991	0.401	1899-12-31T05:00:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	246.702301	238.052143	206.086198	-258.763996	-251.966092	-207.988999	185.643564	190.692395	193.548387							0.867804	0.820127	0.953374	1.090804	1.158811	1.164458
f0093	WT	6/1/22	M	2.799	0.234	1899-12-31T06:50:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month										0.44039	0.488935	0.537173	0.729101	0.706651	0.692421	0.769499	0.804045	0.861737	1.036476	1.029516	1.027326
f0094	WT	6/1/22	M	2.699	0.303	1899-12-31T07:45:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	127.831731	120.043652	102.453336				191.570881	186.287193	190.839695	0.478464	0.459863	0.598356	0.796666	0.765984	0.758	0.873151	0.788735	0.891393	1.218503	1.057268	1.129339
f0095	HET	6/1/22	M	2.687	0.32	1899-12-31T06:06:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	164.113436	154.150023					194.711538	193.808883		0.47256	0.453605	0.34619	0.702658	0.675625	0.7856	0.873555	0.830198	0.67662	1.131637	1.02249	1.047028
f0096	MUT	6/1/22	M	3.117	0.344	1899-12-31T07:20:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month		114.04596	110.286193	-67.734343	-69.919329	-69.919333		172.910663	155.844156	0.367853	0.358055	0.372816	0.428701	0.524973	0.607947	0.655212	0.676655	0.692588	0.778192	0.838697	0.977933
f0098	HET	6/1/22	M	2.86	0.314	1899-12-31T05:15:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	187.611825	181.273874	186.913575	-206.913446	-205.137813	-208.13197	188.976378	185.328185	184.379001	0.689236	0.553319	0.486059	0.826443	0.789099	0.72702	1.094283	0.950523	0.860025	1.18091	1.171288	1.124321
f0099	MUT	6/1/22	M	2.548	0.26	1899-12-31T05:53:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	106.317521	107.858022	105.508183	-62.818116	-62.927381	-63.500947	209.150327	212.658228	207.151665	0.306969	0.249222	0.323905	0.423039	0.374196	0.449596	0.624624	0.548564	0.644171	0.787625	0.74539	0.83303
f0102	MUT	6/1/22	M	2.721	0.316	1899-12-31T06:36:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	135.586257	142.870761	136.291213	-90.661694	-83.642724	-70.189727	148.061105	171.037628	158.520476	0.38843	0.219923	0.234625	0.570015	0.414586	0.461677	0.721585	0.503493	0.532515	0.935681	0.780068	0.854665
f0103	WT	6/1/22	M	2.86	0.306	1899-12-31T07:07:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	147.973232	159.521064	154.418559	-114.165148	-108.624671	-108.702721	177.777778	173.913043	167.636787	0.546993	0.517224	0.439207	0.820183	0.795379	0.651047	0.867091	0.86112	0.761095	1.149199	1.128939	1.011199
f0105	MUT	6/1/22	M	2.684	0.275	1899-12-31T08:16:00Z		2021-12-10T00:00:00Z	Leo			jag2b	6month	136.96251	143.810743	139.110965	-48.506518	-45.884547	-42.607095	150.537634	158.227848	140.023337	0.304702	0.374124	0.550086	0.449226	0.564825	0.57991	0.598274	0.721782	0.886398	0.76712	0.937393	0.969123
